nombre_institucion,tipo_de_institucion,cuit,municipio_comuna_dom_real,departamento,telefono_principal_cod_area_sin_cero_y_telefono_sin_el_15,telefono_secundario_cod_area_sin_cero_y_telefono_sin_el_15,e_mail,calle_dom_real,nro_dom_real,denominacion_sede_anexo,direccion_anexo,pagina_web,red_social_intagram,red_social_facebook,disciplinas,deporte_adaptado,infraestructura_adaptada_para_accesibilidad,latitud,longitud,tipo_de_espacios_deportivos
CLUB ATLETICO HURACAN,CLUB DEPORTIVO,3.0670894025E10,VILLAGUAY,VILLAGUAY,3.455401852E9,3.455457558E9,turca379@hotmail.com,RIVADAVIA 538,,,,,@huracan.villaguay,,Básquet,SIN DATOS,"ACCESO ADECUADO, PUERTAS ACCESIBLES, ANCHO DE PASILLOS",-31.862512027503,-59.0279420372287,"cancha de basquet, Cancha Techada, SUM"
CLUB SOCIAL Y DEPORTIVO SALUD PUBLICA,CLUB DEPORTIVO,3.3688754289E10,VILLAGUAY,VILLAGUAY,3.455421866E9,3.455496E9,debernardi@infinet.com.ar,SAN MARTIN,912.0,,,,@saluchitos.villaguay,Club social y dep Salud Pública,"Fútbol, Voley, Bochas",SIN DATOS,SIN DATOS,-31.8613616033288,-59.0276604607088,"Cancha de Fútbol, SUM, Cancha Techada"
CLUB ATLETICO GUALEGUAY,CLUB DEPORTIVO,3.0709288934E10,VILLAGUAY,VILLAGUAY,3.455424025E9,3.455481762E9,exequieltaylor@yahoo.com.ar,HIPOLITO YRIGOYEN,1549.0,,,,@clubgualeguay_,https://www.facebook.com/clubgualeguay.villaguay/?locale=es_LA,"Fútbol, Bochas",NO,PUERTAS ACCESIBLES,-31.8593643375284,-59.0490219993266,"Cancha de Fútbol, Pileta Techada, cancha de bochas"
AGRUPACION DEPORTIVA ESTUDIANTIL VILLAGUAY (ADEV),CLUB DEPORTIVO,3.0670913623E10,VILLAGUAY,VILLAGUAY,3.45544198E9,3.455407409E9,adevbasquetvillaguay@gmail.com,PASO Y POSADAS,S/N,,,,@adev_villaguay,Agrupacion deportiva estudiantil villaguay,"Fútbol, Natación, Básquet, Ciclismo, Artes Marciales/deportes de contacto, Softbol",SIN DATOS,SIN DATOS,-31.8591084622473,-59.024457528163,"Cancha de Fútbol, cancha de basquet, Cancha Techada, Pileta Techada, SUM, Gimnasio"
AERO CLUB VILLAGUAY,CLUB DEPORTIVO,3.3507048159E10,VILLAGUAY,VILLAGUAY,3.455511284E9,3.455511284E9,joseprocolor@gmail.com,AVENIDA AERONAUTICA ARGENTINA,S/N,,,,@aeroclubvillaguay,aero club villaguay,"Aviación, Golf, Tenis",SIN DATOS,SIN DATOS,-31.8571394198306,-59.0733777157262,"Otros, Pileta Descubierta, cancha de tenis, Campo de Golf"
UNIVERSIDAD NACIONAL DE ENTRE RIOS (UNER),PREDIO UNIVERSITARIO,3.0562252157E10,VILLAGUAY,VILLAGUAY,,,,,,,,www.estudia.uner.edu.ar/deportes/,"uneroficial
https://www.instagram.com/bienestar.uner/",https://www.facebook.com/UNERoficial/?locale=es_LA,,,SIN DATOS,-31.8534039780426,-59.0229984686585,
SPORTIVO VILLA CLARA,CLUB DEPORTIVO,3.0716466651E10,VILLA CLARA,VILLAGUAY,3.455479315E9,3.455557386E9,clubsportivovillaclara@gmail.com,AV. BHIRSCH,149.0,,,,@sportivovillaclara,,"Fútbol, Voley",SIN DATOS,SIN DATOS,-31.8325979490759,-58.8190328821511,Cancha de Fútbol
CLUB ATLETICO VILLA CLARA,CLUB DEPORTIVO,3.0714984752E10,VILLA CLARA,VILLAGUAY,,,,AVENIDA BARON HIRSCH Y CALLE PUBLICA,,,,,,https://www.facebook.com/p/Atletico-Villa-Clara-100063088667689/,Fútbol,NO,"ACCESO ADECUADO, PUERTAS ACCESIBLES, ANCHO DE PASILLOS",-31.8325931151888,-58.8195074660532,Cancha de Fútbol
UNIVERSIDAD NACIONAL DE ENTRE RIOS (UNER),PREDIO UNIVERSITARIO,3.0562252157E10,ORO VERDE,PARANÁ CAMPAÑA,,,,,,,,www.estudia.uner.edu.ar/deportes/,"uneroficial
https://www.instagram.com/bienestar.uner/",https://www.facebook.com/UNERoficial/?locale=es_LA,"Fitness, Fútbol, Básquet , Voley, Handball, Rugby",SIN DATOS,SIN DATOS,-31.8300632077245,-60.5182094937626,"Cancha de Fútbol, Cancha Techada, cancha de basquet, Gimnasio"
ASOCIACION CHANÁ TIMBU CLUB,CLUB DEPORTIVO,3.0714796255E10,ORO VERDE,PARANÁ CAMPAÑA,3.435059365E9,3.434564718E9,chanatimbu.rhc@gmail.com,LOS JACARANDAES,576.0,,,,"https://www.instagram.com/chanatimbuclub/
https://www.instagram.com/chana.timbu_rugby/
https://www.instagram.com/chanatimbufem/",,Rugby,SIN DATOS,SIN DATOS,-31.8289035819199,-60.5254817678742,Cancha de Rugby
ORO VERDE SOFTBOL ASOCIACION CIVIL,CLUB DEPORTIVO,3.0716923165E10,ORO VERDE,PARANÁ CAMPAÑA,3.434194659E9,3.44441435E9,oroverdesoftbol.ac@gmail.com,LOS TORDOS,381.0,,,,,https://www.facebook.com/p/Oro-Verde-Softbol-Asociacion-Civil-100065242760488/,Softbol,SIN DATOS,SIN DATOS,-31.82324,-60.52314,Otros
CLUB ATLETICO ORO VERDE,CLUB DEPORTIVO,3.3690472649E10,ORO VERDE,PARANÁ CAMPAÑA,3.434074158E9,3.436118154E9,club.oroverde@gmail.com,LOS JACARANDAES,54.0,,,,https://www.instagram.com/caoroverde/,https://www.facebook.com/caovoficial/mentions?locale=es_LA,"Fútbol, Voley, Patinaje artístico, Básquet , Hockey sobre patines",SIN DATOS,SIN DATOS,-31.8166082456233,-60.4970200273152,"Cancha de Fútbol, Cancha Techada, SUM"
KARTODROMO VILLAGUAY,POLIDEPORTIVO MUNICIPAL,SIN CUIT 068,VILLAGUAY,VILLAGUAY,,,,,,,,Kartodromo de Villaguay,@kartodromo.villaguay,,Automovilismo / karting,SIN DATOS,SIN DATOS,-31.8157163808095,-59.0208973342351,Otros
TIRO CON ARCO PARANÁ ASOCIACION DEPORTIVA,CLUB DEPORTIVO,3.0711112908E10,ORO VERDE,PARANÁ CAMPAÑA,3.435079772E9,3.43621492E9,info@tiroconarcoPARANÁ.com.ar,AV. LOS CISNES Y CAMINO DE LA CUCHILLA (BARRIO EL TRIANGULAR) AV. LOS CISNES AL 9000,S/N,,,,,https://www.facebook.com/TiroConArcoPARANÁ/?locale=es_LA,Tiro con Arco,SIN DATOS,SIN DATOS,-31.8083754535501,-60.5117789893785,Otros
CLUB SOCIAL Y DEPORTIVO TABOSSI,CLUB DEPORTIVO,3.0709728365E10,TABOSSI,PARANÁ CAMPAÑA,,,,J.D.PERON,249.0,,,,,,Fútbol,SIN DATOS,SIN DATOS,-31.80265,-59.93716,"SUM, Cancha de Fútbol"
CAPIBA RUGBY CLUB,CLUB DEPORTIVO,3.0707577203E10,PARANÁ,PARANÁ,3.435112108E9,3.43405996E9,vivivernackt@hotmail.com,GOBERNADOR PARERA,S/N,,,,@capibarugbyclub/,,"Hockey césped, Rugby, OTROS, Softbol",SIN DATOS,SIN DATOS,-31.79456,-60.49752,"Cancha de Rugby, Cancha de Hockey, Cancha hockey cesped"
TIRO FEDERAL ARGENTINO -PARANÁ,CLUB DEPORTIVO,3.0681066787E10,PARANÁ,PARANÁ,3.434355329E9,3.434509624E9,guillermoraspini@outlook.com,LISANDRO DE LA TORRE,580.0,,,,,,tiro deportivo,SIN DATOS,SIN DATOS,-31.79202,-60.52062,Otros
CLUB SOCIAL Y DEPORTIVO UBAJAY,CLUB DEPORTIVO,3.0650469514E10,UBAJAY,COLÓN,3.456025974E9,3.456025974E9,csydubajay82@gmail.com,ALGARROBAL,127.0,,,,@club_social_y_deportivo_ubajay,https://www.facebook.com/p/Club-Social-y-Deportivo-Ubajay-100063620268581/?locale=es_LA,"Voley, Fútbol",SIN DATOS,SIN DATOS,-31.7907308433104,-58.3142474646247,"Cancha de Fútbol, Cancha Techada, SUM"
CLUB SPORTIVO LIBANES,CLUB DEPORTIVO,3.0708926015E10,PARANÁ,PARANÁ,3.434651121E9,3.434061428E9,c.s.libanes@hotmail.com,DIVISIÓN LOS ANDES,3334.0,,,,https://www.instagram.com/sportivolibanes?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExSWJxS1NTUEdQVFJjaGtYQwEevqv4v8i4LFDiVrax8MUt7D9GyMHQ8DhPamJjec9gCPlPpMOSkukkziH-eLo_aem_CTUfgzvANFaX5kCL7EZobA,https://www.facebook.com/clublibanes/?locale=es_LA,"Fútbol, Patinaje artístico",SIN DATOS,SIN DATOS,-31.7835433803159,-60.5216334140394,"Cancha de Fútbol, Otros"
CLUB EMPLEADOS TELEFONICOS DE ENTRE RIOS,CLUB DEPORTIVO,3.0708998164E10,PARANÁ,PARANÁ,3.434260595E9,3.436235298E9,maxisab@hotmail.com,GARRIGO Y RICARDO BALBIN,S/N,,,,,https://www.facebook.com/clubempleados.telefonicosentrerios.9/photos?locale=es_LA,"Natación, Hockey césped",SIN DATOS,SIN DATOS,-31.7835231346415,-60.5086069620267,"SUM, Pileta Descubierta"
CLUB ATLETICO Y SOCIAL SAN BENITO,CLUB DEPORTIVO,3.0690489771E10,SAN BENITO,PARANÁ CAMPAÑA,3.43484304E9,3.435049282E9,mcr_210369@hotmail.com,AV. SAN MARTIN Y 9 DE JULIO,S/N,,,,,,"Fútbol, Voley",SIN DATOS,"DÁRSENA DE LLEGADA, ESTACIONAMIENTOS ACCESIBLES, ACCESO ADECUADO, PUERTAS ACCESIBLES",-31.7831207885505,-60.4431362793591,"Cancha de Fútbol, Cancha Techada, SUM, Otros"
LIGA AGRUPACIONES VETERANOS FUTBOL PARANÁ,CLUB DEPORTIVO,3.0671194957E10,PARANÁ,PARANÁ,3.434973676E9,3.435217228E9,lavfp@yahoo.com.ar,AVENIDA JORGE NEWBERY,5000.0,,,,,https://www.facebook.com/profile.php?id=100057644191191&sk=about&locale=es_LA,Fútbol,SIN DATOS,SIN DATOS,-31.7825845181384,-60.4525754705136,Cancha de Fútbol
CLUB ATLETICO BAYLINA,CLUB DEPORTIVO,3.0714537535E10,SAN SALVADOR,SAN SALVADOR,3.45416307E9,3.456254832E9,lucas.buet@hotmail.com,43864.0,478.0,,,,@club_a_baylina,,Fútbol,SIN DATOS,SIN DATOS,-31.7818203303028,-58.5321384758061,Cancha de Fútbol
CLUB SPORTIVO ENTRE RIOS,CLUB DEPORTIVO,3.0714029343E10,PARANÁ,PARANÁ,3.434269315E9,3.4341691E9,perliacostadure@hotmail.com,CALLE SALVADOR CAPUTTO,2650.0,,,,,https://www.facebook.com/clubsportivoentreriosoficial/?locale=es_LA,"Voley, Artes Marciales/deportes de contacto, Fútbol, Boxeo",SIN DATOS,SIN DATOS,-31.78002,-60.48467,"Cancha de Fútbol, SUM, Otros, Cancha Techada"
"Playon Polideportivo ""Fernando Gabriel Piérola"" B°Emp. de Comercio",POLIDEPORTIVO MUNICIPAL,SIN CUIT 069,PARANÁ,PARANÁ,0343 466-4751,,,"Artigas, entre Crisólogo Larralde y calle 1631",,,,,,,"Básquet, Futsal, Deportes Urbanos",SIN DATOS,SIN DATOS,-31.7796463176334,-60.5133950729419,"cancha de basquet, Otros"
ASOCIACIÓN COMISIÓN DE JÓVENES Y CHICOS DE LA CALLE,CLUB DEPORTIVO,3.0714460958E10,PARANÁ,PARANÁ,3.434059803E9,3.434178493E9,rosarigo34@hotmail.com,JORGE NEWBERY,1824.0,,,,,,,SIN DATOS,SIN DATOS,-31.776072026618,-60.4975086001559,Otros
CLUB DEPORTIVO ARGENTINO JUNIORS,CLUB DEPORTIVO,3.0690473875E10,PARANÁ,PARANÁ,,3.435065185E9,clubdeportivoargentinojuniors1942@hotmail.com,AV. PEDRO ZANNI Y AV. JORGE NEWBERY,,,,,https://www.instagram.com/argentinosjrs.futbol/,"https://www.facebook.com/people/Club-Deportivo-Argentino-Juniors/100094263976830/
https://www.facebook.com/aj.parana.2025","Fútbol, Voley, Artes Marciales/deportes de contacto, Patinaje artístico, Futsal",NO,"DÁRSENA DE LLEGADA, ESTACIONAMIENTOS ACCESIBLES, ACCESO ADECUADO, ANCHO DE PASILLOS, SANITARIOS ACCESIBLES, RAMPAS",-31.7757021943557,-60.5009362091365,"Cancha de Fútbol, Otros, SUM"
"CLUB INTERPROFESIONAL, DEPORTIVO, SOCIAL Y CULTURAL DE PARANÁ",CLUB DEPORTIVO,3.062851338E10,PARANÁ,PARANÁ,3.434319519E9,3.434261798E9,clubinterPARANÁ@hotmail.com,BOULEVARD RACEDO,455.0,,,www.clubinter.com.ar/,https://www.instagram.com/club.interprofesional/,,Fútbol,SIN DATOS,SIN DATOS,-31.7745128159023,-60.4635841072534,"Cancha de Fútbol, SUM"
CLUB MALVINAS ARGENTINAS DE PARANÁ,CLUB DEPORTIVO,3.0708615478E10,PARANÁ,PARANÁ,3.434350071E9,3.43404474E9,nicolasmichelin@hotmail.com,AV. FRANCISCO RAMIREZ,5526.0,,,,,,Fútbol,SIN DATOS,SIN DATOS,-31.7732868432301,-60.5239783305257,"SUM, Otros"
CENTRO MARCIAL SIN LIMITES,PRIVADO,SIN CUIT 002,PARANÁ,PARANÁ,,,,,,,,,,https://www.facebook.com/C.M.Sin.Limites,"Artes Marciales/deportes de contacto, Boxeo, Fitness",SIN DATOS,SIN DATOS,-31.7732565086369,-60.5007036797195,Gimnasio
CLUB TILCARA,CLUB DEPORTIVO,3.0681116679E10,COLONIA AVELLANEDA,PARANÁ CAMPAÑA,3.434056182E9,3.436206543E9,clubtilcara@gmail.com,MARTIN ZAPATA,1127.0,,,www.clubtilcara.com.ar/,@clubtilcara,https://www.facebook.com/clubtilcara/,"Rugby, Hockey césped",SIN DATOS,SIN DATOS,-31.7712961871578,-60.3699393917442,"Cancha de Rugby, Cancha de Hockey, Gimnasio, SUM, Pileta Descubierta, Cancha hockey cesped"
CLUB ATLETICO PARACAO,CLUB DEPORTIVO,3.0690498266E10,PARANÁ,PARANÁ,3.43435997E9,,clubparacao@hotmail.com,JUAN BAEZ,745.0,,,,@atleticoparacao/,,"Voley, Básquet , Natación, Hockey césped, Handball, Patinaje artístico, Boxeo",SIN DATOS,SIN DATOS,-31.7697893061492,-60.5323930870533,"Cancha Techada, Cancha de Hockey, Pileta Descubierta, cancha de tenis, Pileta Techada, SUM, Cancha de Fútbol, Otros, Cancha hockey cesped, Cajon de arena"
COMPLEJO LEGUAN DEPORTES Y EVENTOS,PRIVADO,SIN CUIT 082,COLONIA AVELLANEDA,PARANÁ CAMPAÑA,,,,Ruta 12 y Patat,,,,,https://www.instagram.com/leguancomplejo/?hl=en,,"Fútbol, Voley, Básquet , Natación, Fitness, Futsal",SIN DATOS,SIN DATOS,-31.76858,-60.40966,"Cancha de Fútbol, SUM, Cancha Techada, Pileta Descubierta"
AGRUPACIÓN PARANAENSE DE BICICROSS (APABI),CLUB DEPORTIVO,3.0707779477E10,PARANÁ,PARANÁ,3.4345326E9,3.4345326E9,robercon33@hotmail.com,LA PICADA ENTRE COSQUIN Y VILLA CERRITO - PARQUE GAZZANO,1800.0,,,,@apabibmx,,Ciclismo,SIN DATOS,SIN DATOS,-31.766984620367,-60.5037145758896,Otros
CLUB ATLETICO INSTITUTO,CLUB DEPORTIVO,3.0671164896E10,PARANÁ,PARANÁ,3.434362093E9,3.434364143E9,sergiowaldemar@gmail.com,OVIDO LAGOS,1482.0,,,,@clubainstitutopna,https://www.facebook.com/LAGLORIADEVILLAURANGA/about?locale=es_LA,"Fútbol, Gimnasia Artística, Hockey césped, Deportes Urbanos",SIN DATOS,SIN DATOS,-31.76547,-60.49096,"Cancha de Fútbol, SUM"
UNION DE VETERANOS DE FUTBOL DE PARANÁ,CLUB DEPORTIVO,3.069052536E10,PARANÁ,PARANÁ,3.434652188E9,3.435048111E9,lpedrocoronado@hotmail.com secretario,SALELLAS,951.0,,,,,https://www.facebook.com/ligadeveteranosPARANÁ/photos?locale=es_LA,Fútbol,SIN DATOS,SIN DATOS,-31.7646303809844,-60.4563753335623,Cancha de Fútbol
ASOCIACIÓN CIVIL ARENAS FUTBOL CLUB,CLUB DEPORTIVO,3.0716509776E10,PARANÁ,PARANÁ,3.43428854E9,3.434700618E9,rodoemery62@gmail.com,DIVISIÓN DE LOS ANDES,1776.0,,,,@arenas_futbol_club,,Fútbol,SIN DATOS,SIN DATOS,-31.7641121793963,-60.4569326846373,Cancha de Fútbol
CENTRO DEPORTIVO MUNICIPAL DR. RAUL ALFONSIN,POLIDEPORTIVO MUNICIPAL,SIN CUIT 062,PARANÁ,PARANÁ,,,,Dr. Bernardo Houssay,1798.0,,,,,,"Natación, Rugby, Fitness",SIN DATOS,SIN DATOS,-31.76355,-60.51884,"Pileta Descubierta, Cancha de Rugby, Gimnasio"
PAKUA RAMIREZ SUR,PRIVADO,SIN CUIT 031,PARANÁ,PARANÁ,,,,Av. Francisco Ramirez,4562.0,,,www.pakua.com,,https://www.facebook.com/PakuaRamirezSur,Artes Marciales/deportes de contacto,SIN DATOS,SIN DATOS,-31.763308197314,-60.5221246668333,Gimnasio
CLUB SOFTBOL PLAY,CLUB DEPORTIVO,3.0707675388E10,PARANÁ,PARANÁ,3.43472416E9,3.434586399E9,infosoftbolplay@gmail.com,ERNESTO IZZA,792.0,,,,https://www.instagram.com/softbolplay/,https://www.facebook.com/softbolplay/?ref=_xav_ig_profile_page_web#,Softbol,SIN DATOS,SIN DATOS,-31.7630350161121,-60.4671461091081,"Otros, SUM"
ASOCIACION CIVIL CLUB ATLETICO Y DEPORTIVO COLONIA AVELLANEDA,CLUB DEPORTIVO,3.071066857E10,COLONIA AVELLANEDA,PARANÁ CAMPAÑA,,,,CONCEPCIÓN DEL URUGUAY 0,,,,,https://www.instagram.com/deportivocoloniaavellaneda/,,"Fútbol, Patinaje artístico",SIN DATOS,SIN DATOS,-31.7623489859275,-60.4286047263502,Cancha de Fútbol
CLUB ATLÉTICO LIBERTADOR SAN MARTÍN,CLUB DEPORTIVO,3.3709092869E10,PARANÁ,PARANÁ,3.434364364E9,3.434614777E9,ca.libertadorsanmartin@gmail.com,CELESTINO MARCÓ,1389.0,,,,@calibertadorsanmartin/,,"Futsal, Bochas, Básquet, Voley, Patinaje artístico, Artes Marciales/deportes de contacto",NO,"ESTACIONAMIENTOS ACCESIBLES, ACCESO ADECUADO, PUERTAS ACCESIBLES, ANCHO DE PASILLOS, SANITARIOS ACCESIBLES",-31.7622734549305,-60.5001391846574,"SUM, Cancha Techada, cancha de basquet, cancha de bochas"
ATLETICO NEUQUEN CLUB,CLUB DEPORTIVO,3.0681130078E10,PARANÁ,PARANÁ,3.434352236E9,,clubneuquenPARANÁ@gmail.com,MARTIN DEL BARCO CENTENERA Y CAMINO DE LA CUCHILLA GRANDE,797.0,,,,,,"Hockey sobre patines, Fútbol, Natación, Patinaje artístico, Básquet",NO,"ACCESO ADECUADO, PUERTAS ACCESIBLES",-31.76176,-60.52932,"Cancha de Fútbol, Pileta Descubierta, Cancha Techada, cancha de basquet"
ASOCIACION CIVIL SOCIAL Y DEPORTIVA ALMIRANTE BROWN,CLUB DEPORTIVO,3.0716637294E10,COLONIA AVELLANEDA,PARANÁ CAMPAÑA,3.434661581E9,3.435016776E9,aurinegro2019@hotmail.com,FRATERNIDAD,2226.0,,,,,,Fútbol,SIN DATOS,SIN DATOS,-31.7593779358621,-60.4132795944566,SUM
AEROCLUB CIUDAD DE PARANÁ,CLUB DEPORTIVO,3.3543078129E10,SAUCE MONTRULL,PARANÁ CAMPAÑA,3.435205525E9,,secretaria@aeroclubPARANÁ.org.ar,RUTA NAC. 12 KM 454,,,,https://aeroclubPARANÁ.org.ar/web/,,,Aviación,SIN DATOS,SIN DATOS,-31.7550943640706,-60.3768864335629,Otros
CLUB ATLETICO PALERMO,CLUB DEPORTIVO,3.0690482505E10,PARANÁ,PARANÁ,3.434242972E9,3.434516529E9,palermoPARANÁ@gmail.com,SANTOS DOMINGUEZ Y BOUCHARD,99.0,,,,@clubatleticopalermoof/,,"Fútbol, padel",NO,"ACCESO ADECUADO, ANCHO DE PASILLOS, RAMPAS",-31.750788781124,-60.5178546951029,"cancha de padel, Cancha de Fútbol, Pileta Descubierta, Otros"
UNIVERSIDAD TECNOLÓGICA NACIONAL (UTN),PREDIO UNIVERSITARIO,3.0546671166E10,PARANÁ,PARANÁ,,,,,,,,www.frcon.utn.edu.ar/deportes/,,,"Fútbol, Básquet , Voley, Otros, Hockey césped, Natación",SIN DATOS,SIN DATOS,-31.7500396973641,-60.5034787937625,"Otros, Cancha de Fútbol"
CLUB UNIVERSITARIO PARANÁ,CLUB DEPORTIVO,3.0605635039E10,PARANÁ,PARANÁ,3.434397119E9,3.434727151E9,clubuniversitarioPARANÁ@hotmail.com,RIO NEGRO,605.0,,,,https://www.instagram.com/clubuniversitariopna/,https://www.facebook.com/CUniversitarioP/?locale=es_LA,"Fútbol, Voley, Básquet , Hockey césped",SIN DATOS,SIN DATOS,-31.7496264253869,-60.4974952416731,"Cancha de Fútbol, Pileta Descubierta, Otros, cancha de basquet, SUM"
CLUB ATLÉTICO PARANÁ,CLUB DEPORTIVO,3.0681123497E10,PARANÁ,PARANÁ,3.434242893E9,3.434624329E9,aealmada@hotmail.com,RUPERTO PEREZ,273.0,,,,@clubatleticoPARANÁof,,"Fútbol, Artes Marciales/deportes de contacto",SIN DATOS,SIN DATOS,-31.74763,-60.51524,"Cancha de Fútbol, Pileta Descubierta, SUM"
CLUB ATLÉTICO CICLÓN DEL SUR,CLUB DEPORTIVO,3.0712227113E10,PARANÁ,PARANÁ,3.436207068E9,,arielsebastianbello78@gmail.com,VIRREY VERTIZ Y LOS JACARANDAES,S/N,,,,@clubatleticociclondelsur,,Fútbol,SIN DATOS,SIN DATOS,-31.7473211585098,-60.5546473870786,Cancha de Fútbol
ASOCIACIÓN CIVIL INTEGRADORA DE SOFTBOL AMATEUR,CLUB DEPORTIVO,3.0716333864E10,PARANÁ,PARANÁ,3.435186791E9,3.43503656E9,isacef2017@gmail.com,ALVARADO Y EVA PERON,S/N,,,,https://www.instagram.com/apsoftbol/,https://www.facebook.com/polideportivocef/?locale=es_LA,Softbol,SIN DATOS,SIN DATOS,-31.74719,-60.53964,Otros
CENTRO PROVINCIAL DE EDUCACIÓN FÍSICA Nº5 OLEGARIO VICTOR ANDRADE,POLIDEPORTIVO PROVINCIAL,3.070992841E10,PARANÁ,PARANÁ,,,centro5parana@hotmail.com,PIRAN,1592.0,,,,,,"Fútbol, Básquet , Voley, Softbol",SIN DATOS,SIN DATOS,-31.7457170930295,-60.5380932017349,"Cancha de Fútbol, cancha de padel, cancha de basquet, Otros"
GYM FENIX FIGHTERS,PRIVADO,SIN CUIT 025,PARANÁ,PARANÁ,,,,,,,,,,https://www.facebook.com/fenixfighters/?locale=es_LA,"Boxeo, Artes Marciales/deportes de contacto",SIN DATOS,SIN DATOS,-31.7456181767628,-60.5227297337323,Gimnasio
CLUB AVENIDA EJERCITO,CLUB DEPORTIVO,SIN CUIT 014,PARANÁ,PARANÁ,3.43437348E9,,yaminasalcedo2019@hotmail.com,JUAN MARIA GUTIERREZ,1150.0,,,,,https://www.facebook.com/p/Club-Avenida-Ej%C3%A9rcito-100063239319859/,"Artes Marciales/deportes de contacto, Futsal, Voley",SIN DATOS,SIN DATOS,-31.7445045283648,-60.5346676140394,"Cancha Techada, SUM"
NARANJITOS FUTBOL ASOCIACIÓN CIVIL,CLUB DEPORTIVO,3.0715644386E10,PARANÁ,PARANÁ,3.435030172E9,3.435036182E9,nestordariogiacinti@yahoo.com,DR CORDINI,952.0,,,,https://www.instagram.com/naranjitos.futbol/?hl=es,,Fútbol,SIN DATOS,SIN DATOS,-31.7443925186441,-60.477934205445,Cancha de Fútbol
VIEYRA JIU JITSU,PRIVADO,SIN CUIT 048,PARANÁ,PARANÁ,0343-156338187,0343 633-8187,,Adolfo Alsina,653.0,,,vieyrajiujitsu.com.ar,https://instagram.com/vieyrajiujitsu?igshid=YmMyMTA2M2Y=,https://www.facebook.com/vieyrajiujitsu/,Artes Marciales/deportes de contacto,SIN DATOS,SIN DATOS,-31.7442812654965,-60.5220028957283,
QUIQUE CLUB,CLUB DEPORTIVO,3.0708140437E10,PARANÁ,PARANÁ,3.43421833E9,3.43469336E9,quiqueclub-PARANÁ@hotmail.com.ar,ADOLFO ALSINA,659.0,,,,,https://www.facebook.com/quiquecluboficial/photos?locale=es_LA,"Voley, Básquet, Patinaje artístico, Artes Marciales/deportes de contacto",SIN DATOS,SIN DATOS,-31.7441929325597,-60.5214577668333,"Cancha Techada, Otros, cancha de basquet"
CLUB ATLETICO TIRO FEDERAL,CLUB DEPORTIVO,3.0681096465E10,PARANÁ,PARANÁ,3.434244837E9,3.434707966E9,c.a.tirofederal@outlook.com.ar,AYACUCHO,826.0,,,www.tirofederalPARANÁ.com.ar/,,,"OTROS, Tiro con Arco",SIN DATOS,SIN DATOS,-31.74406,-60.50633,SUM
PA - KUA-LIGA INTERNACIONAL RECINTO EL CAMINO,PRIVADO,SIN CUIT 030,PARANÁ,PARANÁ,,,,Av. Churruarin,415.0,,,www.pakua.com,https://www.instagram.com/pakuaelcamino?igshid=NGExMmI2YTkyZg%3D%3D,,Artes Marciales/deportes de contacto,SIN DATOS,SIN DATOS,-31.7434089594428,-60.5110692017771,Gimnasio
CLUB ATLETICO PATRONATO DE LA JUVENTUD CATOLICA,CLUB DEPORTIVO,3.0654542208E10,PARANÁ,PARANÁ,3.434243766E9,3.434344945E9,clubpatronatoPARANÁ@hotmail.com,PADRE B. FRELLA 874,874.0,,,www.capatronato.com/,,https://www.facebook.com/clubpatronatooficial,"Fútbol, Básquet , Artes Marciales/deportes de contacto, Voley, Natación, Patinaje artístico, Softbol",SIN DATOS,SIN DATOS,-31.74274,-60.50899,"Cancha de Fútbol, cancha de basquet, Gimnasio, SUM, Pileta Descubierta, Cancha Techada, Otros"
Dojo Mannschaft Kaiser -- Muay Thai / Kick Boxing,PRIVADO,SIN CUIT 021,PARANÁ,PARANÁ,,,,,,,,,,,Artes Marciales/deportes de contacto,SIN DATOS,SIN DATOS,-31.7426979979564,-60.5121271355823,Gimnasio
ASOCIACIÓN CIVIL DEPORTIVA PARANAENSE DE TENIS DE MESA (ASPATEM),CLUB DEPORTIVO,3.0715533541E10,PARANÁ,PARANÁ,3.435110448E9,3.435110448E9,infoaspatem@gmail.com,FRAY MAMERTO ESQUIÚ,860.0,,,,https://www.instagram.com/aspatem_PARANÁ/,https://www.facebook.com/Aspatem/?locale=es_LA,OTROS,SIN DATOS,SIN DATOS,-31.74218,-60.51592,SUM
CLUB TALLERES PARANÁ,CLUB DEPORTIVO,3.0533635349E10,PARANÁ,PARANÁ,3.434313804E9,3.434073651E9,talleresPARANÁ1907@yahoo.com.ar,IRIGOYEN,593.0,,,www.clubtalleresPARANÁ.com.ar/inicio/,https://www.instagram.com/clubtalleresparana?fbclid=IwY2xjawMd3oRleHRuA2FlbQIxMABicmlkETFJYnFLU1NQR1BUUmNoa1hDAR6nnRhPzkeWyqgK1wJ1f2fyqSYwQekdcrO9plt765TppHU7xSc4v0dqmq-NrA_aem_2b2eTH9gvU72-5PD1K4Vzw,https://www.facebook.com/clubtalleresPARANÁ/about?locale=es_LA,"Hockey césped, Básquet , Natación, Hockey sobre patines, Patinaje artístico, Softbol",SIN DATOS,SIN DATOS,-31.7416555763787,-60.5267901680117,"Pileta Descubierta, Cancha Techada, Otros, cancha de basquet"
